nodeNumber,node,visits
0,Contribution_co-author,1
1,Conference_www,1
2,Active_conference_participant,1
3,Contribution_1th-author,1
4,Extended_abstract,2
5,Accepted_contribution,2
6,Conference_part,4
7,Track,1
8,Paper,1
9,Track-workshop_chair,1
10,Review_preference,1
11,Submitted_contribution,5
12,Invited_speaker,1
13,Reviewer,1
14,Committee,4
15,Chair,1
16,Review,1
17,Information_for_participants,1
18,Conference_applicant,5
19,Registeered_applicant,4
20,Rejected_contribution,1
21,Written_contribution,10
22,Early_paid_applicant,1
23,Conference_proceedings,1
24,Reviewed_contribution,4
25,Camera_ready_contribution,1
26,Conference_participant,2
27,Committee_member,3
28,Publisher,1
29,Review_expertise,1
30,Presentation,2
31,Conference_volume,1
32,Tutorial,1
33,Regular_author,3
34,Conference_contributor,6
35,Abstract,1
36,Conference_fees,1
37,Paid_applicant,3
38,Workshop,1
39,Call_for_participation,1
40,Person,19
41,Conference_contribution,14
42,Poster,1
43,Steering_committee,1
44,Co-chair,1
45,Program_committee,1
46,Organizing_committee,1
47,Conference,2
48,Important_dates,1
49,Conference_document,21
50,Organization,1
51,Invited_talk,1
52,Regular_contribution,4
53,Organizer,1
54,Topic,1
55,Late_paid_applicant,1
56,Passive_conference_participant,1
57,Call_for_paper,1
58,Conference_announcement,1
