nodeNumber,node,visits
0,has_parts,16
1,is_given_by,4
2,was_a_committee_chair_of,4
3,was_a_program_committee_of,4
4,is_submitted_at,4
5,belong_to_a_conference_volume,4
6,has_a_review,4
7,belongs_to_reviewers,4
8,has_a_review_expertise,4
9,invites_co-reviewers,4
10,has_tutorials,4
11,has_a_track-workshop-tutorial_topic,4
12,has_an_organizing_committee,4
13,is_part_of_conference_volumes,4
14,has_a_steering_committee,4
15,has_a_committee_chair,4
16,invited_by,4
17,has_workshops,4
18,has_contributions,4
19,has_tracks,4
20,was_a_steering_committee_of,4
21,is_a_topis_of_conference_parts,4
22,was_a_track-workshop_chair_of,4
23,has_a_program_committee,4
24,has_a_track-workshop-tutorial_chair,4
25,has_a_review_reference_or_expertise,4
26,gives_presentations,4
27,has_a_committee_co-chair,4
28,has_a_topic_or_a_submission_contribution,4
29,has_members,12
30,contributes,4
31,was_a_committe_co-chair_of,4
32,has_a_commtitee,16
33,has_been_assigned_a_review_reference,4
34,was_an_organizing_committee_of,4
35,has_a_submitted_contribution,4
36,has_a_publisher,4
37,is_the_1th_part_of,4
38,was_a_committee_of,16
39,reviews,4
40,was_a_member_of,12
41,issues,4
42,has_authors,4
43,belongs_to_a_review_reference,4
44,has_important_dates,4
45,has_an_abstract,4
