rootId,root,childId,child,incremental visits
16,Review,49,Conference_document,1
44,Co-chair,27,Committee_member,1
27,Committee_member,40,Person,1
9,Track-workshop_chair,40,Person,2
9,Track-workshop_chair,40,Person,3
46,Organizing_committee,14,Committee,1
22,Early_paid_applicant,37,Paid_applicant,1
37,Paid_applicant,19,Registeered_applicant,1
19,Registeered_applicant,18,Conference_applicant,1
18,Conference_applicant,40,Person,4
33,Regular_author,34,Conference_contributor,1
34,Conference_contributor,40,Person,5
38,Workshop,6,Conference_part,1
55,Late_paid_applicant,37,Paid_applicant,2
37,Paid_applicant,19,Registeered_applicant,2
19,Registeered_applicant,18,Conference_applicant,2
18,Conference_applicant,40,Person,6
4,Extended_abstract,52,Regular_contribution,1
52,Regular_contribution,21,Written_contribution,1
21,Written_contribution,41,Conference_contribution,1
41,Conference_contribution,49,Conference_document,3
30,Presentation,41,Conference_contribution,2
41,Conference_contribution,49,Conference_document,4
57,Call_for_paper,49,Conference_document,5
58,Conference_announcement,49,Conference_document,6
38,Workshop,6,Conference_part,2
41,Conference_contribution,49,Conference_document,7
15,Chair,27,Committee_member,2
27,Committee_member,40,Person,8
27,Committee_member,40,Person,10
7,Track,6,Conference_part,3
24,Reviewed_contribution,11,Submitted_contribution,1
11,Submitted_contribution,21,Written_contribution,2
21,Written_contribution,41,Conference_contribution,4
41,Conference_contribution,49,Conference_document,8
51,Invited_talk,30,Presentation,2
30,Presentation,41,Conference_contribution,5
41,Conference_contribution,49,Conference_document,9
12,Invited_speaker,34,Conference_contributor,2
34,Conference_contributor,40,Person,11
57,Call_for_paper,49,Conference_document,10
15,Chair,27,Committee_member,4
27,Committee_member,40,Person,12
1,Conference_www,49,Conference_document,11
24,Reviewed_contribution,11,Submitted_contribution,2
11,Submitted_contribution,21,Written_contribution,3
21,Written_contribution,41,Conference_contribution,6
41,Conference_contribution,49,Conference_document,12
18,Conference_applicant,40,Person,13
21,Written_contribution,41,Conference_contribution,7
41,Conference_contribution,49,Conference_document,13
42,Poster,41,Conference_contribution,8
41,Conference_contribution,49,Conference_document,14
15,Chair,27,Committee_member,5
27,Committee_member,40,Person,14
3,Contribution_1th-author,33,Regular_author,2
33,Regular_author,34,Conference_contributor,3
34,Conference_contributor,40,Person,15
2,Active_conference_participant,26,Conference_participant,1
26,Conference_participant,40,Person,16
56,Passive_conference_participant,26,Conference_participant,2
26,Conference_participant,40,Person,17
57,Call_for_paper,49,Conference_document,15
58,Conference_announcement,49,Conference_document,16
45,Program_committee,14,Committee,3
44,Co-chair,27,Committee_member,6
27,Committee_member,40,Person,18
25,Camera_ready_contribution,5,Accepted_contribution,1
5,Accepted_contribution,24,Reviewed_contribution,3
24,Reviewed_contribution,11,Submitted_contribution,3
11,Submitted_contribution,21,Written_contribution,5
21,Written_contribution,41,Conference_contribution,9
41,Conference_contribution,49,Conference_document,17
13,Reviewer,40,Person,19
26,Conference_participant,40,Person,20
8,Paper,52,Regular_contribution,2
52,Regular_contribution,21,Written_contribution,6
21,Written_contribution,41,Conference_contribution,10
41,Conference_contribution,49,Conference_document,18
24,Reviewed_contribution,11,Submitted_contribution,4
11,Submitted_contribution,21,Written_contribution,7
21,Written_contribution,41,Conference_contribution,11
41,Conference_contribution,49,Conference_document,19
37,Paid_applicant,19,Registeered_applicant,3
19,Registeered_applicant,18,Conference_applicant,4
18,Conference_applicant,40,Person,21
52,Regular_contribution,21,Written_contribution,8
21,Written_contribution,41,Conference_contribution,12
