rootId,root,childId,child,incremental visits
0,has_parts,0,has_parts,2
1,is_given_by,1,is_given_by,2
2,was_a_committee_chair_of,2,was_a_committee_chair_of,2
3,was_a_program_committee_of,3,was_a_program_committee_of,2
4,is_submitted_at,4,is_submitted_at,2
5,belong_to_a_conference_volume,5,belong_to_a_conference_volume,2
6,has_a_review,6,has_a_review,2
7,belongs_to_reviewers,7,belongs_to_reviewers,2
8,has_a_review_expertise,8,has_a_review_expertise,2
9,invites_co-reviewers,9,invites_co-reviewers,2
10,has_tutorials,10,has_tutorials,2
11,has_a_track-workshop-tutorial_topic,11,has_a_track-workshop-tutorial_topic,2
12,has_an_organizing_committee,12,has_an_organizing_committee,2
13,is_part_of_conference_volumes,13,is_part_of_conference_volumes,2
14,has_a_steering_committee,32,has_a_commtitee,1
32,has_a_commtitee,32,has_a_commtitee,2
15,has_a_committee_chair,15,has_a_committee_chair,2
16,invited_by,16,invited_by,2
17,has_workshops,17,has_workshops,2
18,has_contributions,18,has_contributions,2
19,has_tracks,0,has_parts,3
0,has_parts,0,has_parts,4
20,was_a_steering_committee_of,20,was_a_steering_committee_of,2
21,is_a_topis_of_conference_parts,21,is_a_topis_of_conference_parts,2
22,was_a_track-workshop_chair_of,22,was_a_track-workshop_chair_of,2
23,has_a_program_committee,32,has_a_commtitee,3
32,has_a_commtitee,32,has_a_commtitee,4
24,has_a_track-workshop-tutorial_chair,24,has_a_track-workshop-tutorial_chair,2
25,has_a_review_reference_or_expertise,25,has_a_review_reference_or_expertise,2
26,gives_presentations,26,gives_presentations,2
27,has_a_committee_co-chair,27,has_a_committee_co-chair,2
28,has_a_topic_or_a_submission_contribution,28,has_a_topic_or_a_submission_contribution,2
29,has_members,29,has_members,2
30,contributes,30,contributes,2
31,was_a_committe_co-chair_of,40,was_a_member_of,1
40,was_a_member_of,40,was_a_member_of,2
32,has_a_commtitee,32,has_a_commtitee,6
33,has_been_assigned_a_review_reference,33,has_been_assigned_a_review_reference,2
34,was_an_organizing_committee_of,34,was_an_organizing_committee_of,2
35,has_a_submitted_contribution,35,has_a_submitted_contribution,2
36,has_a_publisher,36,has_a_publisher,2
37,is_the_1th_part_of,37,is_the_1th_part_of,2
38,was_a_committee_of,38,was_a_committee_of,2
39,reviews,39,reviews,2
40,was_a_member_of,40,was_a_member_of,4
41,issues,41,issues,2
42,has_authors,42,has_authors,2
43,belongs_to_a_review_reference,43,belongs_to_a_review_reference,2
44,has_important_dates,44,has_important_dates,2
45,has_an_abstract,45,has_an_abstract,2
0,has_parts,0,has_parts,6
1,is_given_by,1,is_given_by,4
2,was_a_committee_chair_of,40,was_a_member_of,5
40,was_a_member_of,40,was_a_member_of,6
3,was_a_program_committee_of,3,was_a_program_committee_of,4
4,is_submitted_at,4,is_submitted_at,4
5,belong_to_a_conference_volume,5,belong_to_a_conference_volume,4
6,has_a_review,6,has_a_review,4
7,belongs_to_reviewers,7,belongs_to_reviewers,4
