nodeId,nodeName,nodeType,nodeLevel,loop,hop
5,Accepted_contribution,Class,-1,0,0
24,Reviewed_contribution,Class,-1,0,1
11,Submitted_contribution,Class,-1,0,2
21,Written_contribution,Class,-1,0,3
41,Conference_contribution,Class,-1,0,4
49,Conference_document,Class,-1,0,5
56,Passive_conference_participant,Class,-1,1,0
26,Conference_participant,Class,-1,1,1
40,Person,Class,-1,1,2
37,Paid_applicant,Class,-1,2,0
19,Registeered_applicant,Class,-1,2,1
18,Conference_applicant,Class,-1,2,2
40,Person,Class,-1,2,3
42,Poster,Class,-1,3,0
41,Conference_contribution,Class,-1,3,1
49,Conference_document,Class,-1,3,2
2,Active_conference_participant,Class,-1,4,0
34,Conference_contributor,Class,-1,4,1
40,Person,Class,-1,4,2
